survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,edu_other,edu_status,edu_yr,income,political,join_party,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,property_other,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,invest_other,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9
1,6,15,31,2015/8/9 19:12,2,1988,1,1,1,6,,4.0,2008.0,24000,1,,200.0,0,1,1,0,0,0,0,0,0,,165,100,4,4,5,1,2.0,2,1,1,5,5,1,1,3,3,4,4,4,3,3,4,5,5,1,3,3,1,2.0,3.0,2,4,4,3,4,3,5,,,,,2,1,2,2,60000.0,5,3,1,2,0,1,0,0,0,0,0,0,0,,0,2,2.0,3,2014.0,1989.0,2014.0,5.0,1.0,1.0,36000.0,1.0,3.0,1.0,1968,1,1,2,1968,1,1,2,2,2,4,2,50000.0,3,4,4,4,4,4,3,4,5,5,-8,4,3,4,78,80.0,80,80,80.0,79,81,80,80
2,23,69,109,2015/9/23 19:12,1,1968,1,0,3,1,,,,8000,1,,199.0,0,1,1,1,0,0,0,0,0,,173,120,4,2,2,1,1.0,1,1,5,5,1,2,1,4,2,5,5,5,5,5,5,4,4,5,4,4,1,5.0,5.0,1,2,6,6,7,5,4,,,,,1,2,2,2,16500.0,3,3,3,2,0,1,0,0,0,0,0,0,0,,0,2,1.0,3,1990.0,1970.0,1990.0,1.0,1.0,1.0,8000.0,4.0,,,1945,10,1,2,1948,1,1,2,3,1,4,2,40000.0,5,5,5,3,5,4,3,3,3,3,3,3,1,5,100,20.0,60,70,60.0,80,62,52,75
1,21,64,100,2015/7/18 9:33,1,1964,1,1,3,10,,4.0,1984.0,36000,4,2002.0,80.0,0,1,1,0,0,1,0,0,0,,171,120,4,5,4,2,1.0,4,3,2,4,4,1,1,5,4,1,5,4,4,3,1,5,5,1,2,3,3,5.0,5.0,1,3,4,4,5,4,1,3.0,35.0,1.0,3.0,1,1,2,2,36000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,,0,1,0.0,3,1990.0,1967.0,1990.0,7.0,1.0,2.0,0.0,5.0,,,1928,3,4,1,1936,1,1,1,2,1,5,2,50000.0,2,3,-8,-8,4,3,2,3,3,4,-8,-8,1,4,80,80.0,70,70,70.0,70,70,70,60
1,4,7,14,2015/10/18 16:03,2,1939,1,1,1,3,,2.0,,40000,1,,56.0,0,1,0,0,0,0,0,0,0,,156,115,1,1,1,5,1.0,1,1,1,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,1,2,1,,,1,3,1,7,1,4,5,,,,,1,1,2,2,90000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,,0,4,0.0,3,1957.0,1940.0,1957.0,4.0,4.0,5.0,50000.0,5.0,,,1916,1,1,2,1917,1,1,2,2,3,3,2,40000.0,2,2,4,4,4,4,4,4,4,4,-8,5,2,3,80,70.0,70,65,70.0,60,80,80,70
2,15,41,72,2015/7/15 15:05,2,1935,1,0,4,1,,,,1000,1,,40.0,0,0,1,0,0,0,0,0,0,,136,65,1,-8,-8,1,1.0,1,1,1,1,1,1,5,5,5,5,5,5,4,5,5,5,5,5,3,1,1,5.0,3.0,1,5,2,1,3,-8,4,,,,,1,-1,2,2,30000.0,4,3,1,2,0,1,0,0,0,0,0,0,0,,0,1,0.0,3,1960.0,1936.0,1960.0,1.0,1.0,1.0,9000.0,4.0,,,-2,-8,1,2,-2,-8,1,2,3,2,3,2,50000.0,4,2,2,3,3,3,3,3,3,3,-8,-8,2,5,-2,80.0,70,-2,-2.0,-2,80,-2,80
2,29,82,124,2015/7/22 14:46,1,1983,1,1,1,4,,2.0,1998.0,45000,1,,120.0,0,0,0,0,1,0,0,0,0,,185,185,4,5,3,1,1.0,2,2,2,5,5,1,2,4,4,4,5,5,5,1,5,5,5,1,3,4,1,5.0,7.0,1,4,6,3,-8,5,1,3.0,8.0,1.0,3.0,1,1,1,2,50000.0,5,3,1,2,0,1,0,0,0,0,0,0,0,,1,0,1.0,3,2013.0,1987.0,2013.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,1945,1,1,2,1945,3,1,15,2,1,5,2,60000.0,4,2,2,2,4,4,2,4,2,2,-8,2,2,5,100,100.0,100,100,60.0,100,100,60,-2
1,6,16,32,2015/8/10 10:41,2,1974,1,0,4,4,,4.0,1989.0,0,2,,63.0,0,1,1,0,0,0,0,0,0,,162,120,2,3,3,1,3.0,2,2,2,4,4,3,1,3,4,4,4,3,4,2,4,4,5,2,2,4,2,6.0,3.0,1,2,5,4,6,3,5,,,,,1,2,2,2,36000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,2000.0,1977.0,2000.0,5.0,1.0,2.0,36000.0,1.0,3.0,1.0,1932,-8,1,2,-2,1,1,2,2,2,3,2,20000.0,3,3,3,3,5,4,2,3,3,3,3,3,1,2,80,70.0,70,80,70.0,60,70,80,80
2,31,87,131,2015/8/17 9:52,2,1962,1,0,8,6,,4.0,1979.0,0,1,,90.0,0,1,1,0,0,0,0,0,0,,155,90,2,2,3,1,1.0,2,2,3,5,1,1,1,5,3,4,4,3,3,5,4,3,5,5,3,4,2,1.0,2.0,2,2,1,1,1,1,3,,,,,1,1,1,1,20000.0,1,3,1,2,0,1,0,0,0,0,0,0,0,,0,2,0.0,3,1985.0,1960.0,1985.0,4.0,1.0,1.0,20000.0,3.0,,,1922,4,1,2,1922,3,1,2,2,1,4,2,50000.0,4,4,4,4,4,4,4,4,4,4,4,4,1,5,50,50.0,50,50,50.0,50,30,40,50
1,4,7,16,2015/10/18 10:28,1,1976,1,1,1,7,,4.0,1998.0,100000,1,,77.0,0,1,0,0,0,0,0,0,0,,170,135,5,5,5,4,3.0,4,4,4,4,4,4,2,3,2,3,3,3,2,2,3,3,3,2,3,3,3,4.0,4.0,4,4,6,6,5,4,1,2.0,17.0,1.0,2.0,1,1,2,2,200000.0,5,3,1,1,0,0,1,0,0,0,0,0,0,,1,0,1.0,3,2006.0,1980.0,2006.0,7.0,1.0,5.0,50000.0,1.0,3.0,1.0,1945,4,1,1,1945,1,1,2,2,2,3,2,10000000.0,4,3,3,4,3,3,4,4,3,3,3,4,4,4,80,70.0,70,70,70.0,70,70,70,70
1,4,7,22,2015/9/11 9:54,1,1965,1,1,1,4,,4.0,1981.0,100000,4,1998.0,91.0,0,0,1,0,0,0,0,0,0,,175,160,5,5,5,2,1.0,4,2,5,4,4,4,1,4,3,1,4,3,3,1,1,2,5,1,4,4,4,5.0,3.0,3,4,6,5,6,3,1,2.0,8.0,1.0,1.0,1,1,2,2,100000.0,4,3,2,1,0,1,0,0,0,0,0,0,0,,1,1,0.0,3,1986.0,1963.0,1986.0,4.0,1.0,2.0,0.0,4.0,,,1939,3,1,1,1944,4,1,2,2,1,3,2,120000.0,4,4,5,5,5,5,4,5,4,4,1,5,1,5,60,50.0,40,50,50.0,80,80,80,80
1,27,79,119,2015/7/25 9:34,1,1951,3,1,1,4,,4.0,1967.0,25000,1,,71.0,0,0,1,0,0,0,0,0,0,,165,130,2,2,3,2,1.0,2,2,2,5,1,1,1,4,4,4,5,5,5,2,1,5,5,5,3,4,1,1.0,5.0,1,2,3,3,3,3,5,,,,,1,1,2,2,80000.0,5,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1976.0,1953.0,1976.0,4.0,1.0,2.0,20000.0,5.0,,,1929,2,4,1,1929,2,1,1,2,2,5,2,60000.0,2,1,-8,-8,5,4,2,3,2,5,-8,-8,1,4,50,50.0,60,50,60.0,60,50,50,50
2,9,21,43,2015/7/5 8:08,2,1948,1,1,1,1,,,,2000,1,,100.0,0,0,1,0,0,0,0,0,0,,160,120,1,2,2,1,1.0,1,1,1,4,1,1,1,5,3,5,5,3,5,5,5,5,5,5,2,3,1,3.0,7.0,2,4,1,1,4,1,4,,,,,1,1,2,2,20000.0,6,3,1,1,0,1,0,0,0,0,0,0,0,,1,3,0.0,3,1970.0,1949.0,1970.0,3.0,1.0,1.0,4000.0,3.0,,,-2,1,1,2,-2,1,1,2,3,3,4,2,1000.0,4,4,4,4,4,-8,4,-8,4,-8,-8,-8,3,5,100,100.0,100,100,100.0,100,100,100,100
1,21,62,98,2015/7/18 10:53,2,1980,1,1,1,3,,4.0,1992.0,5000,1,,220.0,0,0,0,0,0,1,0,0,0,,154,90,4,4,3,1,2.0,1,1,1,2,1,1,2,5,2,5,5,3,3,4,5,5,5,5,4,3,1,1.0,2.0,1,4,5,4,6,1,4,,,,,1,1,2,2,40000.0,5,2,1,2,0,1,0,0,0,0,0,0,0,,1,1,2.0,3,2003.0,1982.0,2003.0,4.0,1.0,1.0,30000.0,3.0,,,1952,3,1,2,1963,1,1,15,2,2,4,3,-2.0,5,4,4,4,4,4,3,5,5,3,-8,-8,1,3,60,70.0,50,50,60.0,40,60,40,70
1,19,57,92,2015/7/17 10:01,1,1942,1,1,1,6,,2.0,-2.0,48000,1,,80.0,0,0,0,0,0,0,0,0,1,,172,120,3,3,3,4,1.0,2,2,2,5,2,2,1,5,5,4,5,4,4,5,2,5,5,5,2,4,1,5.0,5.0,1,4,7,5,7,3,5,,,,,1,1,2,2,48000.0,1,3,0,2,0,1,0,0,0,0,0,0,0,,1,1,0.0,3,1967.0,1946.0,1967.0,4.0,1.0,5.0,0.0,5.0,,,-2,1,1,2,-2,1,1,-8,1,1,3,-8,-2.0,2,2,2,2,4,3,2,2,2,-8,-8,-8,2,2,80,85.0,70,90,70.0,75,90,90,90
1,12,32,58,2015/9/2 19:10,1,1956,1,1,1,6,,4.0,1979.0,-1,1,,63.0,0,1,0,0,0,0,0,0,0,,165,65,4,5,5,2,1.0,2,2,4,4,4,1,1,4,4,1,3,3,2,4,5,4,5,1,2,4,4,6.0,2.0,3,1,4,4,6,2,5,,,,,1,1,2,2,90000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,,0,1,0.0,3,1960.0,1938.0,1960.0,6.0,4.0,5.0,50000.0,1.0,3.0,1.0,1918,3,1,1,-2,-8,1,5,2,2,4,-8,-2.0,2,2,3,3,5,3,2,2,2,-8,-8,-8,1,2,80,80.0,60,80,60.0,50,80,60,90
1,26,76,116,2015/10/17 17:15,2,1970,1,1,1,4,,4.0,1984.0,20000,1,,80.0,0,1,0,0,0,0,0,0,0,,156,100,4,4,4,2,1.0,2,1,2,3,2,1,2,3,2,2,3,3,3,3,5,5,3,2,3,3,3,2.0,2.0,2,4,3,3,3,2,1,2.0,26.0,1.0,4.0,1,2,2,2,60000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1993.0,1967.0,1993.0,4.0,1.0,2.0,30000.0,1.0,2.0,1.0,1950,3,1,2,1953,3,1,2,2,2,3,2,80000.0,4,4,4,4,4,3,4,4,5,4,4,4,4,2,85,85.0,89,89,89.0,89,89,89,89
1,17,48,80,2015/7/30 10:11,2,1966,1,1,1,4,,4.0,1984.0,19200,1,,117.0,0,0,1,0,0,0,0,0,0,,161,126,4,5,3,1,2.0,3,3,1,5,1,1,1,5,1,2,2,3,3,2,2,5,5,5,3,4,2,2.0,3.0,1,4,6,8,4,3,5,,,,,1,1,2,2,100000.0,1,3,2,2,0,0,0,1,0,0,0,0,0,,0,2,0.0,3,1988.0,1968.0,1968.0,6.0,1.0,1.0,100000.0,1.0,2.0,1.0,1934,12,4,1,1937,1,1,2,2,2,4,2,30000.0,4,4,3,3,3,3,2,3,3,3,-8,1,5,3,80,67.0,-2,40,30.0,40,-2,60,-2
1,31,88,133,2015/8/19 20:02,2,1963,1,1,1,4,,4.0,1979.0,10000,1,,79.0,0,1,0,0,0,0,0,0,0,,158,140,3,3,3,2,1.0,3,3,1,4,3,3,1,5,3,4,4,3,4,2,4,5,4,3,3,3,1,5.0,5.0,6,4,5,3,5,3,5,,,,,1,2,2,2,20000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1985.0,1962.0,1985.0,5.0,4.0,2.0,10000.0,1.0,5.0,1.0,1938,7,1,1,1943,3,1,1,3,1,4,2,30000.0,3,3,3,3,4,4,3,3,3,3,3,3,2,3,80,80.0,80,80,80.0,80,80,80,80
1,4,7,19,2015/10/3 18:47,1,1992,1,1,1,10,,4.0,2013.0,40000,2,,140.0,0,0,0,0,0,0,0,0,1,,183,135,4,4,3,1,3.0,1,2,3,3,5,5,4,3,4,3,4,4,2,1,2,5,4,2,4,4,4,7.0,2.0,6,2,4,1,7,3,1,5.0,4.0,2.0,2.0,1,2,1,2,40000.0,1,2,0,2,0,1,0,0,0,0,0,0,0,,0,0,,1,,,,,,,,,,,1970,5,1,9,1971,3,1,5,2,1,2,2,200000.0,2,2,2,2,4,2,2,2,2,2,2,2,2,2,60,40.0,40,40,50.0,40,60,80,70
2,18,53,87,2015/7/15 15:24,1,1947,1,1,1,1,,,,3000,1,,80.0,0,0,0,1,0,0,0,0,0,,168,110,2,2,3,1,1.0,1,1,3,1,1,1,3,5,3,5,5,5,4,5,5,5,5,5,4,4,1,2.0,2.0,3,4,4,3,6,3,3,,,,,1,1,2,2,40000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,,2,1,0.0,3,1976.0,1954.0,1976.0,1.0,1.0,1.0,1000.0,3.0,,,1920,1,1,2,1922,1,1,2,3,1,4,2,6000.0,5,4,4,4,5,4,4,-8,3,3,3,3,2,5,80,79.0,89,78,80.0,68,80,80,79
1,4,7,21,2015/9/19 15:26,1,1979,1,1,2,11,,4.0,-2.0,80000,1,,57.0,0,0,0,0,1,0,0,0,0,,171,146,4,4,3,2,1.0,1,1,2,5,5,1,1,4,1,5,5,4,3,2,4,4,5,1,2,3,3,6.0,6.0,2,4,6,4,8,-8,1,3.0,17.0,1.0,3.0,1,1,2,2,170000.0,2,3,1,1,0,0,1,0,0,0,0,0,0,,0,0,,3,2012.0,1987.0,2012.0,10.0,1.0,2.0,110000.0,1.0,2.0,1.0,1941,4,1,1,1948,4,1,1,2,1,3,3,120000.0,4,3,-8,-8,4,3,3,5,3,3,-8,3,3,4,50,60.0,50,60,50.0,60,50,60,70
1,27,80,120,2015/7/29 12:25,2,1965,1,1,1,4,,2.0,1980.0,20000,1,,90.0,0,0,1,0,0,0,0,0,0,,175,100,4,4,4,2,3.0,2,2,2,4,1,1,1,4,4,4,4,4,4,4,3,5,5,5,2,2,2,3.0,4.0,2,4,5,3,7,3,1,6.0,-2.0,1.0,2.0,2,2,2,1,40000.0,2,4,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1984.0,1963.0,1984.0,4.0,1.0,2.0,20000.0,1.0,6.0,1.0,1942,4,1,2,1939,4,1,15,2,1,4,2,60000.0,4,3,4,3,5,3,3,3,2,-8,-8,3,1,3,60,60.0,70,70,60.0,70,60,70,60
1,4,7,20,2015/10/1 10:12,1,1926,1,1,1,12,,4.0,1958.0,100000,1,,70.0,0,1,0,0,0,0,0,0,0,,170,120,2,2,2,2,1.0,2,2,1,2,1,1,1,5,4,4,5,4,4,5,4,5,5,5,1,5,1,,,1,4,10,10,10,5,5,,,,,2,1,2,2,150000.0,3,4,1,2,0,0,0,1,0,0,0,0,0,,2,3,0.0,3,1947.0,1928.0,1947.0,3.0,1.0,2.0,30000.0,5.0,,,-2,3,1,2,-2,1,1,2,1,2,3,2,150000.0,4,4,4,4,4,4,4,4,4,4,-8,4,3,5,90,85.0,70,70,70.0,80,80,85,90
1,16,46,77,2015/7/27 19:24,2,1987,1,1,1,4,,4.0,2002.0,150000,1,,240.0,0,0,1,0,0,0,0,0,0,,168,98,5,4,4,1,1.0,3,3,1,4,4,4,2,3,3,2,3,3,3,2,3,4,4,1,3,3,3,3.0,3.0,-8,3,5,2,9,7,1,1.0,8.0,1.0,4.0,1,2,2,2,150000.0,2,2,0,2,0,1,0,0,0,0,0,0,0,,2,0,2.0,3,2005.0,1987.0,2005.0,4.0,1.0,1.0,10000.0,1.0,2.0,2.0,1965,3,1,1,1967,2,1,1,2,1,3,2,100000.0,3,3,4,4,5,5,5,3,3,3,2,2,1,2,60,65.0,60,60,65.0,60,70,60,65
2,9,21,43,2015/7/6 9:44,2,1937,1,0,3,1,,,,660,4,-2.0,40.0,0,1,1,0,0,0,0,0,0,,150,80,2,3,3,1,1.0,1,1,4,1,1,1,4,5,5,5,5,4,4,1,4,5,5,5,2,3,1,7.0,7.0,1,4,4,5,-8,3,4,,,,,1,1,2,2,10000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,,3,1,0.0,3,1963.0,1941.0,1963.0,4.0,1.0,1.0,10000.0,3.0,,,-2,2,1,2,-2,1,1,2,3,2,3,2,-2.0,4,4,4,4,4,3,3,-8,4,-8,5,-8,2,5,70,80.0,80,80,80.0,80,70,80,80
1,15,39,70,2015/7/10 19:22,1,1957,1,1,1,4,,4.0,1972.0,20000,1,,25.0,0,0,0,0,0,0,0,0,1,,172,150,4,3,3,1,3.0,2,2,2,5,1,1,4,3,4,5,5,4,4,4,5,5,4,5,3,4,1,2.0,5.0,6,4,2,2,3,-8,1,4.0,35.0,1.0,3.0,1,1,2,2,30000.0,1,3,1,2,0,1,0,0,0,0,0,0,0,,1,1,1.0,3,1982.0,1957.0,1982.0,4.0,1.0,1.0,10000.0,3.0,,,-2,2,1,-8,-2,1,1,-8,2,2,3,-8,36000.0,5,4,4,4,4,3,3,5,4,4,3,-8,4,3,40,20.0,20,50,0.0,30,40,60,30
1,5,8,23,2015/7/30 11:09,2,1969,1,-8,1,-8,,4.0,-3.0,60000,1,,70.0,0,0,1,0,0,0,0,0,0,,165,105,5,4,4,2,1.0,3,3,4,3,3,4,2,3,3,2,3,3,2,3,3,4,3,2,3,3,3,3.0,3.0,2,2,6,5,6,3,1,3.0,30.0,1.0,3.0,1,1,2,2,80000.0,2,4,1,2,1,0,0,0,0,0,0,0,0,,0,1,0.0,3,1993.0,1961.0,1993.0,9.0,1.0,2.0,80000.0,1.0,3.0,1.0,-2,3,1,2,-2,3,1,2,2,2,4,2,100000.0,4,4,4,3,4,4,3,3,4,4,3,4,4,4,80,88.0,80,80,80.0,70,70,80,98
1,26,75,115,2015/8/7 10:27,1,1960,1,1,1,6,,4.0,-2.0,15600,1,,24.2,0,1,0,0,0,0,0,0,0,,173,135,4,4,4,2,2.0,4,2,2,5,1,2,1,5,4,2,5,4,4,2,3,5,5,5,3,3,2,2.0,3.0,2,2,4,4,4,2,1,4.0,30.0,1.0,3.0,1,1,2,2,15600.0,1,2,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,6,-3.0,,,,,,,,,,-2,-8,1,2,1938,3,1,4,3,2,4,2,3000.0,3,3,3,3,4,2,3,3,3,-8,-8,-8,2,4,60,70.0,70,60,70.0,70,60,60,60
